Researcher,Affiliation,Companies
"Wang, Zijiang","Shanghai Engineering Research Center of Biotransformation of Organic Solid Waste, School of Ecological and Environmental Sciences, East China Normal University, Shanghai 200241, China; Shanghai Key Lab for Urban Ecological Processes and Eco-Restoration, School of Ecological and Environmental Sciences, East China Normal University, Shanghai 200241, China","['National Key Research and Development Program of China [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Shanghai Engineering Research Center of Biotransformation of Organic Solid Waste, School of Ecological and Environmental Sciences, East China Normal University [University]', 'National Natural Science Foundation of China [Foundation]']"
"Wang, Zijian","Laboratory for Chemical Environmental Risk Assessment, Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Shuangqing RD 18, Beijing 100085, China",['National Natural Science Foundation of China [Foundation]']
"Wang, Zijian","Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Beijing 100085, China",['National Natural Science Foundation of China [Foundation]']
"Wang, Zijian","School of Civil and Environmental Engineering, Cornell University, Ithaca, New York 14853, United States",['Office of International Science and Engineering [Unknown]']
"Wang, Ziliang","NHC Key Laboratory of Reproduction Regulation, Shanghai Institute for Biomedical and Pharmaceutical Technologies, Shanghai 200237, China","['National Key Research and Development Program of China [Unknown]', 'Science and Technology Commission of Shanghai Municipality [Unknown]', 'Shanghai Municipal Health Commission [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Hubei Provincial Natural Science Foundation of China [Foundation]']"
"Wang, Ziliang","Shanghai-MOST Key Laboratory of Health and Disease Genomics, NHC Key Lab of Reproduction Regulation, Shanghai Institute for Biomedical and Pharmaceutical Technologies, Shanghai 200237, China","['National Key Research and Development Program of China [Unknown]', 'Science and Technology Commission of Shanghai Municipality [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Innovation Promotion Program of NHC and Shanghai Key Labs, SIBPT [Unknown]']"
"Wang, Zimeng","Cluster of Interfacial Processes Against Pollution (CIPAP), Department of Environmental Science and Engineering, Fudan University, Shanghai200438, China; Shanghai Institute of Pollution Control and Ecological Security, Shanghai200092, China","['Shanghai Municipal Human Resources and Social Security Bureau [Unknown]', 'Science and Technology Commission of Shanghai Municipality [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Wang, Zimeng","Department of Environmental Science and Engineering, Institute of Atmospheric Sciences, Fudan University, Shanghai 200438, China; National Observations and Research Station for Wetland Ecosystems of the Yangtze Estuary, Institute of Eco-Chongming, Shanghai 200062, China; Shanghai Institute of Pollution Control and Ecological Security, Shanghai 200092, China","['National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Guangdong Province [Foundation]', 'State Key Laboratory for Environmental Aquatic Chemistry [Unknown]', 'Fudan University [University]', 'China Association for Science and Technology [Unknown]', 'Division of Chemistry [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Laboratory Directed Research and Development [Unknown]', 'Brookhaven National Laboratory [Government]', 'Division of Environmental Biology [Unknown]', 'Argonne National Laboratory [Government]', 'National Key Research and Development Program of China [Unknown]', 'National Institute of Food and Agriculture [University]', 'China Postdoctoral Science Foundation [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Inner Mongolia Autonomous Region [Unknown]', 'Central University Basic Research Fund of China [University]', 'U.S. Department of Energy [Government]', 'National Natural Science Foundation of China [Foundation]', 'Division of Environmental Biology [Unknown]', 'China Postdoctoral Science Foundation [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Cyrus Tang Foundation [Foundation]', 'National Natural Science Foundation of China [Foundation]']"
"Wang, Zimeng","Shanghai Key Laboratory of Atmospheric Particle Pollution and Prevention, Department of Environmental Science and Engineering, International Centre of Excellence-Risk Interconnectivity and Governance on Weather/Climate Extremes Impact and Public Health, Institute of Atmospheric Sciences, Fudan University, Shanghai 200438, China; National Observations and Research Station for Wetland Ecosystems of the Yangtze Estuary, Institute of Eco-Chongming, Shanghai 200062, China; Shanghai Institute of Pollution Control and Ecological Security, Shanghai 200092, China","['Danmarks Grundforskningsfond [Unknown]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'HORIZON EUROPE Marie Sklodowska-Curie Actions [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Wang, Ziming","Shandong Provincial Key Laboratory of Water Pollution Control and Resource Reuse, School of Environmental Science and Engineering, Shandong University, Qingdao 266237, P. R. China","['Technological Innovation Projects of Shandong Province [Unknown]', 'Natural Science Foundation of Shandong Province [Foundation]', 'Shandong Energy Institute [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Joint Fund of the National Natural Science Foundation of China [Foundation]']"
"Wang, Zining","Shanghai Key Lab of Chemical Assessment and Sustainability, Key Laboratory of Yangtze River Water Environment, School of Chemical Science and Engineering, Tongji University, 1239 Siping Road, Shanghai 200092, China","['Science and Technology Commission of Shanghai Municipality [Unknown]', 'Fundamental Research Funds for the Central Universities [University]', 'National Natural Science Foundation of China [Foundation]', 'Photon Science Research Center for Carbon Dioxide [Unknown]']"
"Wang, Zining","Shanghai Key Laboratory of Chemical Assessment and Sustainability, Key Laboratory of Yangtze River Water Environment, School of Chemical Science and Engineering, Tongji University, 1239 Siping Road, Shanghai 200092, China","[""Ministry of Education of the People's Republic of China [Government]"", 'Science and Technology Commission of Shanghai Municipality [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Photon Science Research Center for Carbon Dioxide [Unknown]']"
"Wang, Ziniu","State Key Laboratory of Environmental Chemistry and Ecotoxicology, Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Beijing 100085, China; University of Chinese Academy of Sciences, Beijing 100049, China","['Youth Innovation Promotion Association of the Chinese Academy of Sciences [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Chinese Academy of Sciences [Unknown]', 'Hubei Key Laboratory of Environmental and Health Effects of Persistent Toxic Substances [Unknown]']"
"Wang, Ziqiao","Key Laboratory of Drinking Water Science and Technology, Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Beijing 100085, China","['Division of Chemistry [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Wang, Ziquan","CAS Key Laboratory of Soil Environment and Pollution Remediation, Institute of Soil Science, Chinese Academy of Sciences, Nanjing 210008, China; University of Chinese Academy of Sciences, Beijing 100049, China","['Alexander von Humboldt-Stiftung [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Chinese Academy of Sciences [Unknown]', 'Center for Health Impacts of Agriculture, Michigan State University [University]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Natural Science Foundation of Jiangsu Province [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Chinese Academy of Sciences [Unknown]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Natural Science Foundation of Jiangsu Province [Foundation]', 'Alexander von Humboldt-Stiftung [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Chinese Academy of Sciences [Unknown]']"
"Wang, Ziwei","China Tobacco Hubei Industrial Co., Ltd., Wuhan, People’s Republic of China; Hubei Xinye Reconstituted Tobacco Development Co., Ltd, Wuhan, People’s Republic of China; Applied Technology Research of Reconstituted Tobacco Hubei Province Key Laboratory, Wuhan, People’s Republic of China","['National Natural Science Foundation of China [Foundation]', 'China Postdoctoral Science Foundation [Foundation]']"
"Wang, Zixuan","Department of Energy, Environmental & Chemical Engineering, Washington University in St. Louis, St. Louis, Missouri 63130, United States",['Washington University in St. Louis [University]']
"Wang, Zixuan","Key Laboratory of Water and Sediment Sciences of Ministry of Education, State Key Laboratory of Water Environment Simulation, School of Environment, Beijing Normal University, Beijing 100875, China",['National Natural Science Foundation of China [Foundation]']
